cell,x,density,momentum,energy,velocity,pressure,alpha,courant,reference_density,reference_momentum,reference_energy
0,0.005,0.9999999985048714,1.7690600070814003e-9,2.499999994767049,1.7690600097263725e-9,0.9999999979068197,1.1832159612273796,0.019192456760305263,1.0000000000000053,0,2.5000000000000133
1,0.015,0.9999999949211354,6.0093933928293374e-9,2.4999999822239736,6.0093934233502324e-9,0.9999999928895895,1.1832159716511723,0.019192456929385295,0.9999999999999966,0,2.499999999999991
2,0.025,0.9999999834726344,1.9555441879802756e-8,2.4999999421542216,1.95554422030027e-8,0.9999999768616887,1.1832160035962578,0.019192457447553313,1.0000000000000056,0,2.5000000000000138
3,0.035,0.999999948472845,6.096774668669305e-8,2.4999998196549695,6.096774982818774e-8,0.9999999278619871,1.1832160972719596,0.01919245896702813,0.9999999999999963,0,2.4999999999999907
4,0.045,0.9999998460803321,1.8212016557061807e-7,2.4999994612812593,1.821201936024978e-7,0.9999997845124972,1.1832163600903363,0.019192463230096324,0.9999999999999963,0,2.4999999999999907
5,0.055,0.9999995594543682,5.212603041299249e-7,2.4999984580910235,5.212605337689761e-7,0.9999993832363551,1.1832170654768686,0.019192474671879536,1.000000000000006,0,2.5000000000000147
6,0.065,0.9999987918424581,0.0000014295090397475346,2.4999957714537446,0.0000014295107668217487,0.9999983085810892,1.1832188762009892,0.019192504042886627,0.9999999999999957,0,2.499999999999989
7,0.075,0.9999968255171875,0.0000037560841048147126,2.499988889343316,0.000003756096028476997,0.9999955557345048,1.1832233206181961,0.01919257613394005,1.000000000000006,0,2.5000000000000147
8,0.085,0.999992008947561,0.00000945505306325284,2.499972031513436,0.000009455128619681456,0.9999888125874947,1.1832337478639119,0.019192745269980372,0.999999999999997,0,2.4999999999999925
9,0.095,0.9999807307041834,0.000022799254029411774,2.4999325585417185,0.00002279969336344772,0.9999730233127242,1.1832571223116246,0.019193124417229666,0.9999999999999957,0,2.499999999999989
10,0.105,0.9999554965999641,0.000052654673526192244,2.499844243518849,0.00005265701694248194,0.999937696853012,1.1833071631302596,0.01919393610865319,1.0000000000000013,0,2.5000000000000036
11,0.115,0.9999015744422967,0.00011644720693785935,2.4996555356203016,0.00011645866944734909,0.9998622115358633,1.183409418156118,0.01919559474513767,1.0000000000000013,0,2.5000000000000036
12,0.125,0.999791588059531,0.0002465470704429201,2.499270664832026,0.0002465984645074248,0.9997082537731846,1.1836087448951271,0.01919882794173488,1,0,2.5
13,0.135,0.9995775773927931,0.0004996230853601274,2.4985219374458154,0.0004998342266373148,0.9994087250325825,1.1839791699974178,0.019204836454121132,1,0,2.5
