x,z,t
39.690000000,100.137870000,12.600000000
40.960000000,102.154240000,12.800000000
42.250000000,104.146250000,13.000000000
43.560000000,106.112160000,13.200000000
44.890000000,108.050230000,13.400000000
46.240000000,109.958720000,13.600000000
47.610000000,111.835890000,13.800000000
49.000000000,113.680000000,14.000000000
50.410000000,115.489310000,14.200000000
51.840000000,117.262080000,14.400000000
53.290000000,118.996570000,14.600000000
54.760000000,120.691040000,14.800000000
56.250000000,122.343750000,15.000000000
57.760000000,123.952960000,15.200000000
59.290000000,125.516930000,15.400000000
60.840000000,127.033920000,15.600000000
62.410000000,128.502190000,15.800000000
64.000000000,129.920000000,16.000000000
65.610000000,131.285610000,16.200000000
67.240000000,132.597280000,16.400000000
68.890000000,133.853270000,16.600000000
70.560000000,135.051840000,16.800000000
72.250000000,136.191250000,17.000000000
73.960000000,137.269760000,17.200000000
75.690000000,138.285630000,17.400000000
77.440000000,139.237120000,17.600000000
79.210000000,140.122490000,17.800000000
81.000000000,140.940000000,18.000000000
82.810000000,141.687910000,18.200000000
84.640000000,142.364480000,18.400000000
86.490000000,142.967970000,18.600000000
88.360000000,143.496640000,18.800000000
90.250000000,143.948750000,19.000000000
92.160000000,144.322560000,19.200000000
94.090000000,144.616330000,19.400000000
96.040000000,144.828320000,19.600000000
98.010000000,144.956790000,19.800000000
100.000000000,145.000000000,20.000000000
100.000000000,145.000000000,20.000000000
100.802000000,145.010430000,20.080000000
101.608000000,145.041440000,20.160000000
102.418000000,145.092610000,20.240000000
103.232000000,145.163520000,20.320000000
104.050000000,145.253750000,20.400000000
104.872000000,145.362880000,20.480000000
105.698000000,145.490490000,20.560000000
106.528000000,145.636160000,20.640000000
107.362000000,145.799470000,20.720000000
108.200000000,145.980000000,20.800000000
109.042000000,146.177330000,20.880000000
109.888000000,146.391040000,20.960000000
110.738000000,146.620710000,21.040000000
111.592000000,146.865920000,21.120000000
112.450000000,147.126250000,21.200000000
113.312000000,147.401280000,21.280000000
114.178000000,147.690590000,21.360000000
115.048000000,147.993760000,21.440000000
115.922000000,148.310370000,21.520000000
116.800000000,148.640000000,21.600000000
117.682000000,148.982230000,21.680000000
118.568000000,149.336640000,21.760000000
119.458000000,149.702810000,21.840000000
