x,z,t
31.360000000,103.174400000,11.200000000
32.490000000,105.754950000,11.400000000
33.640000000,108.320800000,11.600000000
34.810000000,110.869850000,11.800000000
36.000000000,113.400000000,12.000000000
37.210000000,115.909150000,12.200000000
38.440000000,118.395200000,12.400000000
39.690000000,120.856050000,12.600000000
40.960000000,123.289600000,12.800000000
42.250000000,125.693750000,13.000000000
43.560000000,128.066400000,13.200000000
44.890000000,130.405450000,13.400000000
46.240000000,132.708800000,13.600000000
47.610000000,134.974350000,13.800000000
49.000000000,137.200000000,14.000000000
50.410000000,139.383650000,14.200000000
51.840000000,141.523200000,14.400000000
53.290000000,143.616550000,14.600000000
54.760000000,145.661600000,14.800000000
56.250000000,147.656250000,15.000000000
57.760000000,149.598400000,15.200000000
59.290000000,151.485950000,15.400000000
60.840000000,153.316800000,15.600000000
62.410000000,155.088850000,15.800000000
64.000000000,156.800000000,16.000000000
65.610000000,158.448150000,16.200000000
67.240000000,160.031200000,16.400000000
68.890000000,161.547050000,16.600000000
70.560000000,162.993600000,16.800000000
72.250000000,164.368750000,17.000000000
73.960000000,165.670400000,17.200000000
75.690000000,166.896450000,17.400000000
77.440000000,168.044800000,17.600000000
79.210000000,169.113350000,17.800000000
81.000000000,170.100000000,18.000000000
82.810000000,171.002650000,18.200000000
84.640000000,171.819200000,18.400000000
86.490000000,172.547550000,18.600000000
88.360000000,173.185600000,18.800000000
90.250000000,173.731250000,19.000000000
92.160000000,174.182400000,19.200000000
94.090000000,174.536950000,19.400000000
96.040000000,174.792800000,19.600000000
98.010000000,174.947850000,19.800000000
100.000000000,175.000000000,20.000000000
100.000000000,175.000000000,20.000000000
100.802000000,175.010430000,20.080000000
101.608000000,175.041440000,20.160000000
102.418000000,175.092610000,20.240000000
103.232000000,175.163520000,20.320000000
104.050000000,175.253750000,20.400000000
104.872000000,175.362880000,20.480000000
105.698000000,175.490490000,20.560000000
106.528000000,175.636160000,20.640000000
107.362000000,175.799470000,20.720000000
108.200000000,175.980000000,20.800000000
109.042000000,176.177330000,20.880000000
109.888000000,176.391040000,20.960000000
110.738000000,176.620710000,21.040000000
111.592000000,176.865920000,21.120000000
112.450000000,177.126250000,21.200000000
113.312000000,177.401280000,21.280000000
114.178000000,177.690590000,21.360000000
115.048000000,177.993760000,21.440000000
115.922000000,178.310370000,21.520000000
116.800000000,178.640000000,21.600000000
117.682000000,178.982230000,21.680000000
118.568000000,179.336640000,21.760000000
119.458000000,179.702810000,21.840000000
120.352000000,180.080320000,21.920000000
121.250000000,180.468750000,22.000000000
122.152000000,180.867680000,22.080000000
123.058000000,181.276690000,22.160000000
123.968000000,181.695360000,22.240000000
124.882000000,182.123270000,22.320000000
125.800000000,182.560000000,22.400000000
126.722000000,183.005130000,22.480000000
127.648000000,183.458240000,22.560000000
128.578000000,183.918910000,22.640000000
129.512000000,184.386720000,22.720000000
130.450000000,184.861250000,22.800000000
131.392000000,185.342080000,22.880000000
132.338000000,185.828790000,22.960000000
133.288000000,186.320960000,23.040000000
134.242000000,186.818170000,23.120000000
135.200000000,187.320000000,23.200000000
136.162000000,187.826030000,23.280000000
137.128000000,188.335840000,23.360000000
138.098000000,188.849010000,23.440000000
139.072000000,189.365120000,23.520000000
140.050000000,189.883750000,23.600000000
141.032000000,190.404480000,23.680000000
142.018000000,190.926890000,23.760000000
143.008000000,191.450560000,23.840000000
144.002000000,191.975070000,23.920000000
145.000000000,192.500000000,24.000000000
146.002000000,193.024930000,24.080000000
147.008000000,193.549440000,24.160000000
148.018000000,194.073110000,24.240000000
149.032000000,194.595520000,24.320000000
150.050000000,195.116250000,24.400000000
151.072000000,195.634880000,24.480000000
152.098000000,196.150990000,24.560000000
153.128000000,196.664160000,24.640000000
154.162000000,197.173970000,24.720000000
155.200000000,197.680000000,24.800000000
156.242000000,198.181830000,24.880000000
157.288000000,198.679040000,24.960000000
158.338000000,199.171210000,25.040000000
159.392000000,199.657920000,25.120000000
160.450000000,200.138750000,25.200000000
161.512000000,200.613280000,25.280000000
162.578000000,201.081090000,25.360000000
163.648000000,201.541760000,25.440000000
164.722000000,201.994870000,25.520000000
165.800000000,202.440000000,25.600000000
166.882000000,202.876730000,25.680000000
167.968000000,203.304640000,25.760000000
169.058000000,203.723310000,25.840000000
170.152000000,204.132320000,25.920000000
171.250000000,204.531250000,26.000000000
172.352000000,204.919680000,26.080000000
173.458000000,205.297190000,26.160000000
174.568000000,205.663360000,26.240000000
175.682000000,206.017770000,26.320000000
176.800000000,206.360000000,26.400000000
177.922000000,206.689630000,26.480000000
179.048000000,207.006240000,26.560000000
180.178000000,207.309410000,26.640000000
181.312000000,207.598720000,26.720000000
182.450000000,207.873750000,26.800000000
183.592000000,208.134080000,26.880000000
184.738000000,208.379290000,26.960000000
185.888000000,208.608960000,27.040000000
187.042000000,208.822670000,27.120000000
188.200000000,209.020000000,27.200000000
189.362000000,209.200530000,27.280000000
190.528000000,209.363840000,27.360000000
191.698000000,209.509510000,27.440000000
192.872000000,209.637120000,27.520000000
194.050000000,209.746250000,27.600000000
195.232000000,209.836480000,27.680000000
196.418000000,209.907390000,27.760000000
197.608000000,209.958560000,27.840000000
198.802000000,209.989570000,27.920000000
200.000000000,210.000000000,28.000000000
200.000000000,210.000000000,28.000000000
200.858571429,210.005960000,28.057142857
201.720000000,210.023680000,28.114285714
202.584285714,210.052920000,28.171428571
203.451428571,210.093440000,28.228571429
204.321428571,210.145000000,28.285714286
205.194285714,210.207360000,28.342857143
206.070000000,210.280280000,28.400000000
206.948571429,210.363520000,28.457142857
207.830000000,210.456840000,28.514285714
208.714285714,210.560000000,28.571428571
209.601428571,210.672760000,28.628571429
210.491428571,210.794880000,28.685714286
211.384285714,210.926120000,28.742857143
212.280000000,211.066240000,28.800000000
213.178571429,211.215000000,28.857142857
214.080000000,211.372160000,28.914285714
214.984285714,211.537480000,28.971428571
215.891428571,211.710720000,29.028571429
216.801428571,211.891640000,29.085714286
217.714285714,212.080000000,29.142857143
218.630000000,212.275560000,29.200000000
219.548571429,212.478080000,29.257142857
220.470000000,212.687320000,29.314285714
221.394285714,212.903040000,29.371428571
222.321428571,213.125000000,29.428571429
223.251428571,213.352960000,29.485714286
224.184285714,213.586680000,29.542857143
225.120000000,213.825920000,29.600000000
226.058571429,214.070440000,29.657142857
227.000000000,214.320000000,29.714285714
227.944285714,214.574360000,29.771428571
228.891428571,214.833280000,29.828571429
229.841428571,215.096520000,29.885714286
230.794285714,215.363840000,29.942857143
231.750000000,215.635000000,30.000000000
232.708571429,215.909760000,30.057142857
233.670000000,216.187880000,30.114285714
234.634285714,216.469120000,30.171428571
235.601428571,216.753240000,30.228571429
236.571428571,217.040000000,30.285714286
237.544285714,217.329160000,30.342857143
238.520000000,217.620480000,30.400000000
239.498571429,217.913720000,30.457142857
240.480000000,218.208640000,30.514285714
241.464285714,218.505000000,30.571428571
242.451428571,218.802560000,30.628571429
243.441428571,219.101080000,30.685714286
244.434285714,219.400320000,30.742857143
245.430000000,219.700040000,30.800000000
246.428571429,220.000000000,30.857142857
247.430000000,220.299960000,30.914285714
248.434285714,220.599680000,30.971428571
249.441428571,220.898920000,31.028571429
250.451428571,221.197440000,31.085714286
251.464285714,221.495000000,31.142857143
252.480000000,221.791360000,31.200000000
253.498571429,222.086280000,31.257142857
254.520000000,222.379520000,31.314285714
255.544285714,222.670840000,31.371428571
256.571428571,222.960000000,31.428571429
257.601428571,223.246760000,31.485714286
258.634285714,223.530880000,31.542857143
259.670000000,223.812120000,31.600000000
260.708571429,224.090240000,31.657142857
261.750000000,224.365000000,31.714285714
262.794285714,224.636160000,31.771428571
263.841428571,224.903480000,31.828571429
264.891428571,225.166720000,31.885714286
265.944285714,225.425640000,31.942857143
267.000000000,225.680000000,32.000000000
268.058571429,225.929560000,32.057142857
269.120000000,226.174080000,32.114285714
270.184285714,226.413320000,32.171428571
271.251428571,226.647040000,32.228571429
272.321428571,226.875000000,32.285714286
273.394285714,227.096960000,32.342857143
274.470000000,227.312680000,32.400000000
275.548571429,227.521920000,32.457142857
276.630000000,227.724440000,32.514285714
277.714285714,227.920000000,32.571428571
278.801428571,228.108360000,32.628571429
279.891428571,228.289280000,32.685714286
280.984285714,228.462520000,32.742857143
282.080000000,228.627840000,32.800000000
