scenario,step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
four-quadrants,16,0.020391866897793126,0.001265270305562936,0.24293189866808373,1.646551985116279,0,0.4,0.25,0.25,0.4265594025139365,2.2859378629436273,0,100.79055968214243,0,0,0,0,43.176114247874935,0
four-quadrants,17,0.02165713720335606,0.0012608167618502275,0.2420768182752437,1.6523680493238975,0,0.4,0.25,0.25,0.42804714873845284,2.2800272612459858,0,100.7898951496411,0,0,0,0,43.174537011420625,0
four-quadrants,18,0.022917953965206288,0.0012584709165190363,0.24162641597165496,1.655448136295345,0,0.4,0.25,0.25,0.42907278750618016,2.2747856263405293,0,100.78923046455786,0,0,0,0,43.17295699630809,0
four-quadrants,19,0.024176424881725323,0.001257093591437615,0.24136196955602207,1.6572619155196144,0,0.4,0.25,0.25,0.42979510636144885,2.270110278064788,0,100.78856469895187,0,0,0,0,43.17137342356957,0
four-quadrants,20,0.025433518473162938,0.0012520359108924464,0.2403908948913497,1.663956532882784,0,0.39999999999999997,0.25,0.25,0.43031570273253394,2.2649692620827278,0,100.78789751574766,0,0,0,0,43.16979155665035,0
four-quadrants,21,0.026685554384055385,0.0012488891833582478,0.2397867232047836,1.6681490728675183,0,0.39999999999999997,0.25,0.25,0.4309365021757027,2.2600770581835152,0,100.7872311309746,0,0,0,0,43.16820929404238,0
four-quadrants,22,0.027934443567413633,0.0012472833489153572,0.23947840299174858,1.6702967574649406,0,0.39999999999999997,0.25,0.25,0.4318298672737976,2.2556658713748403,0,100.78656464135837,0,0,0,0,43.16662492806011,0
four-quadrants,23,0.02918172691632899,0.0012451764827958582,0.23907388469680477,1.6731229364816775,0,0.39999999999999997,0.25,0.25,0.4324537588059077,2.251679091333717,0,100.78589732603929,0,0,0,0,43.16503940860917,0
four-quadrants,24,0.03042690339912485,0.0012419491754154634,0.23845424167976897,1.6774706844476188,0,0.39999999999999997,0.25,0.25,0.43289268372903444,2.248068963044871,0,100.78522958188908,0,0,0,0,43.16345447361922,0
four-quadrants,25,0.031668852574540315,0.0012397602154698198,0.2380339613702054,1.6804324798758226,0,0.4,0.25,0.25,0.4332053508463336,2.244787581682646,0,100.78456214081116,0,0,0,0,43.161868999824,0
four-quadrants,26,0.03290861279001014,0.0012386633662767076,0.23782336632512788,1.681920520177823,0,0.4,0.25,0.25,0.4334314916995721,2.241793890157595,0,100.78389451953564,0,0,0,0,43.160281743408454,0
four-quadrants,27,0.03414727615628684,0.0012361142828705503,0.23733394231114566,1.6853889338575876,0,0.39999999999999997,0.25,0.25,0.43359773214694686,2.2387979395391056,0,100.78322619285261,0,0,0,0,43.15869481804828,0
four-quadrants,28,0.03538339043915739,0.0012337762200187185,0.23688503424359397,1.688582823635331,0,0.4,0.25,0.25,0.4337996334479262,2.235639306796053,0,100.78255805101496,0,0,0,0,43.15710811625258,0
four-quadrants,29,0.03661716665917611,0.001232547875932143,0.23664919217897148,1.6902656472940363,0,0.4,0.25,0.25,0.4340780210006225,2.2321278594416416,0,100.78189004702998,0,0,0,0,43.155520326361334,0
four-quadrants,30,0.03784971453510825,0.0012318248383174732,0.23651036895695488,1.6912577734500953,0,0.4,0.25,0.25,0.4342769757367792,2.228827871281571,0,100.7812216228375,0,0,0,0,43.15393091327653,0
four-quadrants,31,0.03908153937342572,0.0012290656456066592,0.23598060395647857,1.6950545650513344,0,0.4,0.25,0.25,0.4344195731633765,2.225805164014755,0,100.78055255210806,0,0,0,0,43.15234272030434,0
four-quadrants,32,0.04031060501903238,0.0012273639248104027,0.23565387356359732,1.697404731571491,0,0.4,0.25,0.25,0.43452251280714893,2.2230294529721313,0,100.77988403203602,0,0,0,0,43.15075445985402,0
four-quadrants,33,0.04153796894384278,0.0012265157351704604,0.2354910211527284,1.698578561687831,0,0.4,0.25,0.25,0.4345974157084231,2.2204746828157327,0,100.77921551876972,0,0,0,0,43.14916510680132,0
four-quadrants,34,0.04276448467901325,0.001225597116035786,0.23531464627887091,1.6998516935744017,0,0.4,0.25,0.25,0.43465237324139616,2.2181197239848323,0,100.77854657727923,0,0,0,0,43.14757485485461,0
four-quadrants,35,0.043990081795049034,0.0012234960288507505,0.2349112375393441,1.7027708175646812,0,0.39999999999999997,0.25,0.25,0.4347139115947757,2.215947613505434,0,100.77787728836944,0,0,0,0,43.1459853793672,0
four-quadrants,36,0.045213577823899787,0.0012222613392886745,0.2346741771434255,1.7044909025313533,0,0.4,0.25,0.25,0.43480541349766183,2.213939380746193,0,100.77720835704449,0,0,0,0,43.14439561080637,0
