scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,37,0,0.1953125,0.0026041666666666665,0.280665487368225,-0.039500768130273874,-1.3048792449199625e-17,0.7392167004919746,-0.14073967020551412,-4.649232996745334e-17,0.294574815180886
four-quadrants,38,0,0.20052083333333334,0.0026041666666666665,0.2941520295382284,-0.05856447590543682,-6.032197007638398e-19,0.7931499392612529,-0.19909594367706276,-2.0507072540373024e-18,0.31492798578523207
four-quadrants,39,0,0.20572916666666666,0.0026041666666666665,0.30831276575385735,-0.07953391292264535,-1.276576474987762e-18,0.8519396158167543,-0.257965033423694,-4.1405242234015105e-18,0.33667245262562023
four-quadrants,40,0,0.2109375,0.0026041666666666665,0.3213178699757795,-0.09959614973840131,-2.619552520237273e-17,0.9077996927150983,-0.30996144019599264,-8.15252671889905e-17,0.3569456838838612
four-quadrants,41,0,0.21614583333333334,0.0026041666666666665,0.331964469517943,-0.11656635148593429,-1.6882704244970864e-17,0.9548279837126652,-0.3511410472789582,-5.085696149797844e-17,0.3737449473374145
four-quadrants,42,0,0.22135416666666666,0.0026041666666666665,0.33990543684883656,-0.12953478681940064,-3.424744024084506e-17,0.9906589413525051,-0.38109065868519076,-1.0075578831084026e-16,0.38639067709467184
four-quadrants,43,0,0.2265625,0.0026041666666666665,0.3454135980977965,-0.13868471270723948,-3.502862882676546e-17,1.015894369312592,-0.40150333823271733,-1.014106827862864e-16,0.39522127270227636
four-quadrants,44,0,0.23177083333333334,0.0026041666666666665,0.3490276841787586,-0.14475845599381662,-4.926996826559473e-17,1.032629170491412,-0.4147477766252974,-1.411634964760003e-16,0.4010440186423355
four-quadrants,45,0,0.23697916666666666,0.0026041666666666665,0.3512995818529242,-0.14860749555137862,-6.237874128799924e-17,1.0432297386620388,-0.4230221247846373,-1.7756565766171292e-16,0.40471904375940204
four-quadrants,46,0,0.2421875,0.0026041666666666665,0.35267962069830155,-0.15096016788055466,-5.620788281803805e-17,1.0497093139072766,-0.42803768355442623,-1.5937377585568198e-16,0.40696039744919466
four-quadrants,47,0,0.24739583333333334,0.0026041666666666665,0.3534935690565619,-0.1523561527203272,-4.9977617574563815e-17,1.0535559130764762,-0.4310012007487157,-1.4138197112877883e-16,0.40828922827780734
four-quadrants,48,0,0.2526041666666667,0.0026041666666666665,0.3539604757129763,-0.15316299924500454,-6.382859924037964e-17,1.0557815368058694,-0.4327121522155575,-1.8032691111009168e-16,0.4090575165137287
four-quadrants,49,0,0.2578125,0.0026041666666666665,0.3542207674728821,-0.15361778278443528,-9.170676815399506e-17,1.0570382446726005,-0.4336780812722837,-2.588972092411713e-16,0.409491164811589
four-quadrants,50,0,0.2630208333333333,0.0026041666666666665,0.35436159512947163,-0.15386774285348143,-1.126850905365504e-16,1.0577304241786298,-0.43421111364301035,-3.1799464751641365e-16,0.40972995287582265
four-quadrants,51,0,0.2682291666666667,0.0026041666666666665,0.35443593672470675,-0.15400179165200029,-1.1477098792203616e-16,1.058101524167736,-0.43449824268698445,-3.2381306755353e-16,0.4098579080984062
four-quadrants,52,0,0.2734375,0.0026041666666666665,0.3544758074518325,-0.15407251363842872,-1.3203191558716973e-16,1.0582944426441754,-0.43464888265855683,-3.7247087900381107e-16,0.4099242878774025
four-quadrants,53,0,0.2786458333333333,0.0026041666666666665,0.354500981933813,-0.15411065528893075,-1.7641038536441508e-16,1.0583911501064378,-0.4347256090751927,-4.976301741171248e-16,0.40995729034548367
four-quadrants,54,0,0.2838541666666667,0.0026041666666666665,0.3545246220049555,-0.15413432763232648,-1.8869540470658558e-16,1.0584376856996704,-0.43476339319014073,-5.322490822765704e-16,0.409972681622166
four-quadrants,55,0,0.2890625,0.0026041666666666665,0.354556892697272,-0.15415471290017138,-1.9337934419653468e-16,1.058459459233014,-0.4347813174000029,-5.454113237664398e-16,0.4099790658615745
four-quadrants,56,0,0.2942708333333333,0.0026041666666666665,0.35460732518493,-0.15417955439582684,-2.30936705545057e-16,1.0584703813022442,-0.43478953604644577,-6.512462917245774e-16,0.40998102113617585
four-quadrants,57,0,0.2994791666666667,0.0026041666666666665,0.35468642556119734,-0.1542152845917648,-2.560659614663539e-16,1.058478181456006,-0.4347933089002771,-7.219502721627909e-16,0.40998091780827217
