i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
58,0,0.3046875,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
59,0,0.3098958333333333,0.0026041666666666665,0.1380000000000001,0.16642800000000008,0.16642800000000013,0.2732121680000001,1.2059999999999997,1.2060000000000002,0.028999999999999984
60,0,0.3151041666666667,0.0026041666666666665,0.13800000000000043,0.1664280000000003,0.16642800000000055,0.2732121680000006,1.2059999999999984,1.2060000000000002,0.02900000000000007
61,0,0.3203125,0.0026041666666666665,0.13800000000000168,0.16642800000000116,0.16642800000000207,0.2732121680000026,1.2059999999999937,1.2060000000000004,0.02900000000000045
62,0,0.3255208333333333,0.0026041666666666665,0.13800000000000626,0.16642800000000418,0.16642800000000757,0.2732121680000096,1.2059999999999755,1.2060000000000002,0.029000000000001802
63,0,0.3307291666666667,0.0026041666666666665,0.13800000000002313,0.16642800000001534,0.1664280000000279,0.2732121680000354,1.205999999999909,1.206,0.029000000000006756
64,0,0.3359375,0.0026041666666666665,0.1380000000000854,0.16642800000005664,0.16642800000010297,0.273212168000131,1.2059999999996642,1.206,0.029000000000025075
65,0,0.3411458333333333,0.0026041666666666665,0.13800000000031537,0.16642800000020924,0.16642800000038033,0.27321216800048426,1.2059999999987603,1.206,0.029000000000092774
66,0,0.3463541666666667,0.0026041666666666665,0.13800000000116483,0.16642800000077296,0.16642800000140479,0.2732121680017889,1.2059999999954216,1.206,0.029000000000342675
67,0,0.3515625,0.0026041666666666665,0.138000000004302,0.1664280000028548,0.1664280000051882,0.27321216800660697,1.2059999999830913,1.206,0.02900000000126564
68,0,0.3567708333333333,0.0026041666666666665,0.138000000015888,0.1664280000105432,0.16642800001916097,0.27321216802440085,1.2059999999375528,1.2060000000000004,0.029000000004674266
69,0,0.3619791666666667,0.0026041666666666665,0.13800000005867677,0.16642800003893762,0.16642800007076416,0.27321216809011595,1.2059999997693727,1.206,0.029000000017262884
70,0,0.3671875,0.0026041666666666665,0.13800000021670164,0.16642800014380213,0.1664280002613422,0.2732121683328111,1.2059999991482606,1.2060000000000002,0.029000000063754274
71,0,0.3723958333333333,0.0026041666666666665,0.13800000080030966,0.16642800053108106,0.1664280009651735,0.27321216922911823,1.205999996854403,1.2060000000000002,0.029000000235453773
72,0,0.3776041666666667,0.0026041666666666665,0.13800000295565237,0.16642800196135052,0.16642800356451676,0.2732121725393011,1.2059999883828536,1.206,0.029000000869564935
73,0,0.3828125,0.0026041666666666665,0.13800001091558453,0.16642800724346773,0.16642801316419492,0.2732121847641979,1.205999957096183,1.2059999999999997,0.029000003211430283
74,0,0.3880208333333333,0.0026041666666666665,0.1380000403121624,0.16642802675035132,0.16642804861646787,0.27321222991163213,1.2059998415499265,1.2060000000000002,0.02900001186028267
75,0,0.3932291666666667,0.0026041666666666665,0.1380001488719984,0.16642809878482753,0.16642817953963007,0.27321239663890945,1.2059994148209028,1.206,0.029000043801753517
76,0,0.3984375,0.0026041666666666665,0.1380005497405521,0.16642836474766387,0.16642866298710585,0.2732130123010656,1.2059978388532326,1.2060000000000002,0.02900016176602427
77,0,0.4036458333333333,0.0026041666666666665,0.13800202963607588,0.1664293462993591,0.16643044774110755,0.2732152851937513,1.2059920186554407,1.2060000000000002,0.029000597420931487
78,0,0.4088541666666667,0.0026041666666666665,0.13800748960263384,0.16643296468812507,0.16643703246077643,0.2732236712079016,1.2059705249862667,1.2060000000000002,0.029002206293629564
79,0,0.4140625,0.0026041666666666665,0.13802760139201806,0.16644626463427317,0.16646128727877382,0.273254563957466,1.2058911620259347,1.2060000000000004,0.029008147196406167
80,0,0.4192708333333333,0.0026041666666666665,0.13810137904303874,0.16649478604616214,0.16655026312590476,0.27336791203641275,1.2055982872862891,1.2060000000000004,0.02903007556872681
