step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
15,0.013872193025770045,0.0009879027998928422,0.1896773375794257,2.1088444465987064,0,0.4001907059439655,0.138,0.028999999999999984,1.2060000000000002,1.8660888521182775,-50.748955763926475,28.45634552563675,-30.603615067069896,-124.12986150566722,-50.78702631357251,-30.58753666441129,28.542072868414596,-124.24009989674562
16,0.014860095825662887,0.0009874320270008149,0.18958694918415647,2.1098498695258687,0,0.40021277920691983,0.138,0.028999999999999984,1.2060000000000004,1.8623017960268062,-50.78702631357251,28.542072868414596,-30.58753666441129,-124.24009989674562,-50.825078721167756,-30.57146592371709,28.62760367833298,-124.35023021283376
17,0.015847527852663704,0.0009869070437556302,0.189486152401081,2.1109721999807625,0,0.4001906889784378,0.138,0.02899999999999997,1.2060000000000004,1.8531632707368069,-50.825078721167756,28.62760367833298,-30.57146592371709,-124.35023021283376,-50.86311089762216,-30.555403727276467,28.71294929148326,-124.46025321785248
18,0.016834434896419333,0.0009864367871975197,0.18939586314192378,2.111978547811575,0,0.40017029160866074,0.138,0.028999999999999984,1.2060000000000004,1.8435010324461774,-50.86311089762216,28.71294929148326,-30.555403727276467,-124.46025321785248,-50.901124951923606,-30.539349184396798,28.798127992042964,-124.57018066660373
19,0.017820871683616853,0.000986017011140035,0.18931526613888672,2.1128776783724845,0,0.40015142876778126,0.138,0.028999999999999984,1.2060000000000004,1.8360879068371512,-50.901124951923606,28.798127992042964,-30.539349184396798,-124.57018066660373,-50.93912282942584,-30.52330147349338,28.883155768466747,-124.68002292850703
20,0.018806888694756888,0.00098564387404674,0.18924362381697407,2.1136775545307556,0,0.4001339723941523,0.138,0.028999999999999984,1.2060000000000004,1.8314295233116216,-50.93912282942584,28.883155768466747,-30.52330147349338,-124.68002292850703,-50.97710632744231,-30.50725983550365,28.96804674354499,-124.78978921457474
21,0.019792532568803627,0.000985313861904063,0.1891802614855801,2.114385490636872,0,0.4001178169665948,0.138,0.028999999999999984,1.2060000000000004,1.8299831730772942,-50.97710632744231,28.96804674354499,-30.50725983550365,-124.78978921457474,-51.01507710786788,-30.491223568556613,29.052813472927387,-124.89948775418631
22,0.02077784643070769,0.0009850237306341448,0.1891245562817558,2.1150082668486694,0,0.40010287388594745,0.138,0.028999999999999984,1.2060000000000004,1.8307094765378527,-51.01507710786788,29.052813472927387,-30.491223568556613,-124.89948775418631,-51.05303670758124,-30.475192023579577,29.13746712168508,-125.00912593445852
23,0.021762870161341836,0.0009847704627234783,0.18907592884290783,2.1155522146467236,0,0.400089067305424,0.138,0.028999999999999984,1.2060000000000006,1.83398928513654,-51.05303670758124,29.13746712168508,-30.475192023579577,-125.00912593445852,-51.090986547175916,-30.459164600610734,29.222017715859913,-125.1187104113553
24,0.022747640624065313,0.0009845512344097264,0.18903383700666748,2.1160232809848294,0,0.4000762817188055,0.138,0.028999999999999984,1.2060000000000006,1.8287917703587089,-51.090986547175916,29.222017715859913,-30.459164600610734,-125.1187104113553,-51.12892793842688,-30.443140745645852,29.306474278025625,-125.22824721376813
25,0.02373219185847504,0.0009843635120581533,0.18899779431516545,2.1164268157170945,0,0.40006435387067746,0.138,0.028999999999999984,1.2060000000000004,1.8253859629811184,-51.12892793842688,29.306474278025625,-30.443140745645852,-125.22824721376813,-51.16686209547108,-30.427119945916346,29.390844955567328,-125.33774183366437
26,0.024716555370533196,0.0009842051685278145,0.1889673923573404,2.116767316361087,0,0.40005342591028337,0.138,0.02899999999999997,1.2060000000000004,1.8241350590671115,-51.16686209547108,29.390844955567328,-30.427119945916346,-125.33774183366437,-51.204790150472434,-30.411101723273376,29.47513719515219,-125.4471992519294
27,0.02570076053906101,0.0009840737309406609,0.1889421563406069,2.1170500419129237,0,0.40004344856222956,0.138,0.028999999999999984,1.2060000000000004,1.818820451651015,-51.204790150472434,29.47513719515219,-30.411101723273376,-125.4471992519294,-51.24271314029816,-30.395085639815022,29.559357746982275,-125.55662398261497
28,0.02668483427000167,0.0009839668510782586,0.18892163540702567,2.1172799988641464,0,0.40003437227718497,0.138,0.02899999999999997,1.2060000000000004,1.8106741396670152,-51.24271314029816,29.559357746982275,-30.395085639815022,-125.55662398261497,-51.280632011322794,-30.379071295857205,29.643512737644453,-125.66602011434794
29,0.02766880112107993,0.000983882305389963,0.1889054026348729,2.1174619382016444,0,0.4000261477670577,0.138,0.028999999999999984,1.2060000000000004,1.8050311147727718,-51.280632011322794,29.643512737644453,-30.379071295857205,-125.66602011434794,-51.31854762423255,-30.363058327904824,29.727607733242642,-125.77539134685617
30,0.028652683426469892,0.0009838179937806417,0.1888930548058832,2.1176003554554286,0,0.40001872620239415,0.138,0.028999999999999984,1.2060000000000004,1.802443635612656,-51.31854762423255,29.727607733242642,-30.363058327904824,-125.77539134685617,-51.356460758782795,-30.34704640664243,29.81164779444731,-125.88474102357266
31,0.029636501420250535,0.00098377193799959,0.18888421209592127,2.117699491987544,0,0.40001205929996986,0.138,0.028999999999999984,1.2060000000000004,1.8025692808552083,-51.356460758782795,29.81164779444731,-30.34704640664243,-125.88474102357266,-51.394372118493514,-30.331035234951123,29.895637525199074,-125.99407216105894
32,0.030620273358250124,0.0009837422798914743,0.18887851773916306,2.1177633369210938,0,0.40000609938592796,0.138,0.028999999999999984,1.2060000000000004,1.8054681906729988,-51.394372118493514,29.895637525199074,-30.331035234951123,-125.99407216105894,-51.432282335277584,-30.315024545954095,29.979581114566315,-126.10338747581038
33,0.0316040156381416,0.0009837272795606596,0.18887563767564663,2.117795629560834,0,0.40000079946752415,0.138,0.028999999999999984,1.2060000000000004,1.806425118352646,-51.432282335277584,29.979581114566315,-30.315024545954095,-126.10338747581038,-51.47019197399783,-30.299014101091736,30.063482381419952,-126.21268940886577
34,0.032587742917702264,0.0009837253134195576,0.18887526017655507,2.1177998623329053,0,0.39999999999999997,0.138,0.02899999999999996,1.2060000000000004,1.8021642818533996,-51.47019197399783,30.063482381419952,-30.299014101091736,-126.21268940886577,-51.508101536949454,-30.283003688228888,30.14734479922826,-126.32198014853553
35,0.03357146823112182,0.0009837348720612197,0.18887709543575418,2.117779284339209,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000004,1.7998121526920874,-51.508101536949454,30.14734479922826,-30.283003688228888,-126.32198014853553,-51.54601146825989,-30.2669931197964,30.231171524476434,-126.43126165148885
36,0.034555203103183045,0.0009837545578884226,0.18888087511457716,2.117736905641483,0,0.4,0.138,0.02899999999999997,1.2060000000000004,1.8003076311668444,-51.54601146825989,30.231171524476434,-30.2669931197964,-126.43126165148885,-51.58392215819786,-30.25098223097143,30.314965431670053,-126.54053566238282
37,0.035538957661071464,0.0009837830824356024,0.18888635182763566,2.117675502383633,0,0.4,0.138,0.028999999999999984,1.2060000000000004,1.797824740442127,-51.58392215819786,30.314965431670053,-30.25098223097143,-126.54053566238282,-51.6218339473788,-30.234970877901226,30.39872913794074,-126.64980373217803
38,0.036522740743507066,0.0009838192633317116,0.18889329855968864,2.117597622837866,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000004,1.7902951908169795,-51.6218339473788,30.39872913794074,-30.234970877901226,-126.64980373217803,-51.6597471308534,-30.218958935976506,30.482465025879005,-126.75906723525968
39,0.03750656000683878,0.00098386202086883,0.18890150800681535,2.117505594426321,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000004,1.7858057065161603,-51.6597471308534,30.482465025879005,-30.218958935976506,-126.75906723525968,-51.697661962063904,-30.20294629816056,30.56617526466542,-126.8683273854565
40,0.03849042202770761,0.0009839103741610597,0.18891079183892348,2.1174015317296626,0,0.4,0.138,0.028999999999999984,1.2060000000000004,1.7850029046726419,-51.697661962063904,30.56617526466542,-30.20294629816056,-126.8683273854565,-51.7355786566525,-30.186932873380837,30.64986182957226,-126.97758525103622
41,0.03947433240186867,0.0009839634368991,0.18892097988462722,2.117287345451402,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000004,1.7862621705880937,-51.7355786566525,30.64986182957226,-30.186932873380837,-126.97758525103622,-51.77349739610581,-30.170918584989778,30.733526519911564,-127.08684176873429
42,0.04045829583876777,0.0009840204127261982,0.18893191924343006,2.1171647522651718,0,0.4,0.138,0.028999999999999984,1.2060000000000004,1.7920014362170233,-51.77349739610581,30.733526519911564,-30.170918584989778,-127.08684176873429,-51.811418331221574,-30.15490336930072,30.817170975381874,-127.1960977570161
43,0.041442316251493964,0.0009840806696336402,0.18894348856965892,2.1170351147217734,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000004,1.78833181072122,-51.811418331221574,30.817170975381874,-30.15490336930072,-127.1960977570161,-51.84934158844186,-30.13888717291315,30.900796698149527,-127.3053539367389
44,0.0424263969211276,0.0009841435490505444,0.18895556141770453,2.116899852001505,0,0.4,0.138,0.028999999999999984,1.2060000000000004,1.7851552564359536,-51.84934158844186,30.900796698149527,-30.13888717291315,-127.3053539367389,-51.88726726882966,-30.122869953144935,30.984405061090513,-127.41461093090226
45,0.043410540470178144,0.0009842084663990965,0.18896802554862654,2.1167602235282352,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000004,1.7839754502011653,-51.88726726882966,30.984405061090513,-30.122869953144935,-127.41461093090226,-51.92519545092021,-30.106851676828175,31.067997309083683,-127.5238692792458
46,0.04439474893657724,0.0009842749299332142,0.18898078654717715,2.116617288499559,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000004,1.7868099237686583,-51.92519545092021,31.067997309083683,-30.106851676828175,-127.5238692792458,-51.96312619429845,-30.090832318798252,31.15157458358399,-127.63312944222307
47,0.04537902386651045,0.0009842942663493923,0.18898449913908333,2.116575707649015,0,0.4000061393303078,0.138,0.02899999999999997,1.2060000000000006,1.7839484292586023,-51.96312619429845,31.15157458358399,-30.090832318798252,-127.63312944222307,-52.001057682839075,-30.07481264606258,31.235133861987297,-127.74238646350065
48,0.04636331813285984,0.000984279159312207,0.18898159858794378,2.116608193542492,0,0.40000132241254227,0.138,0.028999999999999984,1.2060000000000006,1.777313679889762,-52.001057682839075,31.235133861987297,-30.07481264606258,-127.74238646350065,-52.03898858920373,-30.05879321919829,31.31867313734955,-127.85163677679577
49,0.04734759729217205,0.0009842759052652017,0.18898097381091875,2.1166151911155473,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7745996319275323,-52.03898858920373,31.31867313734955,-30.05879321919829,-127.85163677679577,-52.07691937016807,-30.04277384529456,31.402194255320104,-127.96088193375412
50,0.04833187319743725,0.0009842831700459524,0.18898236864882287,2.1165995688375636,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7750386307313368,-52.07691937016807,31.402194255320104,-30.04277384529456,-127.96088193375412,-52.11485043109335,-30.026754353154434,31.485698900867796,-128.07012332344178
51,0.049316156367483203,0.0009842997070785263,0.18898554375907706,2.1165640082499055,0,0.4000000000000001,0.138,0.02899999999999997,1.2060000000000006,1.7795428422903945,-52.11485043109335,31.485698900867796,-30.026754353154434,-128.0701233234418,-52.15278212930189,-30.010734591869323,31.56918860928219,-128.17936218315256
52,0.05030045607456173,0.0009843243599484174,0.18899027711009614,2.1165109979016554,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000006,1.7819120871660028,-52.15278212930189,31.569188609282183,-30.010734591869323,-128.17936218315256,-52.190714777551605,-29.994714429351667,31.652664777057282,-128.2885996094085
53,0.05128478043451015,0.0009843560630145483,0.18899636409879328,2.116442831624579,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7767029469999955,-52.190714777551605,31.652664777057243,-29.994714429351667,-128.28859960940855,-52.228648647533994,-29.978693750857463,31.736128672513928,-128.39783656894966
54,0.0522691364975247,0.0009843938405074176,0.1890036173774242,2.1163616101655554,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7749636056375926,-52.22864864753404,31.736128672513885,-29.978693750857463,-128.39783656894983,-52.26658397333772,-29.962672457523713,31.81958144784248,-128.50707390955574
55,0.05325353033803212,0.0009844368044421626,0.18901186645289522,2.116269245453361,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7764268735251953,-52.26658397333782,31.81958144784234,-29.962672457523713,-128.5070739095562,-52.30452095483131,-29.946650464939506,31.903024145041208,-128.61631237057676
56,0.05423796714247429,0.000984484151599818,0.18902095710716507,2.1161674669397676,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000006,1.7832568559576907,-52.30452095483161,31.903024145040842,-29.94665046493951,-128.6163123705778,-52.342459760930026,-29.930627701766696,31.98645770745446,-128.72555259307455
57,0.055222451294074104,0.000984535159781955,0.18903075067813535,2.116057829559616,0,0.4,0.138,0.02899999999999997,1.2060000000000006,1.7746593804064643,-52.34245976093075,31.986457707453607,-29.930627701766696,-128.72555259307708,-52.380400532718056,-29.914604108421017,32.06988298880391,-128.83479512949407
58,0.05620698645385606,0.0009845891835121672,0.1890411232343361,2.115941722924268,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7702219353135635,-52.380400532719676,32.06988298880198,-29.91460410842101,-128.8347951294998,-52.41834338640524,-29.898579635823545,32.15330076135395,-128.94404045280504
59,0.05719157563736822,0.000984645649335691,0.1890519646724527,2.1158203814122287,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.769981310317235,-52.41834338640885,32.15330076134966,-29.898579635823538,-128.94404045281775,-52.45628841610301,-29.882554244228558,32.236711723588186,-129.05328896506748
