cells,steps,L1_density,L1_momentum,L1_energy,balance_density,balance_momentum,balance_energy
100,93,0.023762707776387997,0.02171016769622964,0.053128292422751924,1.5279260308632445e-15,2.7755575615628914e-17,3.451581193976542e-15
200,190,0.016645769363901008,0.01430953901229444,0.033536837286176964,6.661262730183009e-16,-1.6653345369377348e-16,4.440865702351851e-15
400,385,0.010889542673173476,0.009046046014894024,0.020408888128049276,-7.993605777301127e-15,1.3877787807814457e-16,-1.4876988529977098e-14
800,774,0.006977521849557591,0.005680558613296128,0.012175236079616793,1.3988810110276972e-14,1.6653345369377348e-16,5.995204332975845e-15
