cell,component,decoded_exact,reference_exact,signed_error
left,density,207/256,207/256,0
left,momentum,2026619832316723/18014398509481984,32425917317067571/288230376151711744,-3/288230376151711744
left,energy,257/128,4629700416936869895/2305843009213693952,-7/2305843009213693952
right,density,81/256,81/256,0
right,momentum,4053239664633447/36028797018963968,32425917317067571/288230376151711744,5/288230376151711744
right,energy,95/128,1711367858400788505/2305843009213693952,-25/2305843009213693952
