cell,center_x,density,momentum,energy,velocity,pressure
left,0.25,0.80859375000000000,0.11249999999999999,2.0078125000000000,0.13913043478260867,0.79999456521739121
right,0.75,0.31640625000000000,0.11250000000000002,0.74218750000000000,0.35555555555555562,0.28887499999999999
